skill,category
Python,Programming
Java,Programming
C,Programming
C++,Programming
C#,Programming
JavaScript,Programming
TypeScript,Programming
R,Programming
Go,Programming
Rust,Programming
Kotlin,Programming
Swift,Programming
PHP,Programming
Ruby,Programming
Dart,Programming
Scala,Programming
MATLAB,Programming
Perl,Programming
Bash,Programming
PowerShell,Programming
Object-Oriented Programming,Programming
Data Structures,Programming
Algorithms,Programming
Git,Version Control
GitHub,Version Control
GitLab,Version Control
 
Excel,Data Analytics
Advanced Excel,Data Analytics
Google Sheets,Data Analytics
SQL,Data Analytics
MySQL,Data Analytics
PostgreSQL,Data Analytics
Oracle SQL,Data Analytics
Data Cleaning,Data Analytics
Data Wrangling,Data Analytics
Data Analysis,Data Analytics
Exploratory Data Analysis,Data Analytics
Statistical Analysis,Data Analytics
Descriptive Statistics,Data Analytics
Inferential Statistics,Data Analytics
Data Visualization,Data Analytics
Business Intelligence,Data Analytics
Power BI,Data Analytics
Tableau,Data Analytics
Looker,Data Analytics
Looker Studio,Data Analytics
Qlik Sense,Data Analytics
DAX,Data Analytics
Power Query,Data Analytics
Pivot Tables,Data Analytics
VLOOKUP,Data Analytics
XLOOKUP,Data Analytics
Matplotlib,Data Analytics
Seaborn,Data Analytics
Plotly,Data Analytics
Pandas,Data Analytics
NumPy,Data Analytics
Jupyter Notebook,Data Analytics


Machine Learning,Artificial Intelligence
Deep Learning,Artificial Intelligence
Artificial Intelligence,Artificial Intelligence
Generative AI,Artificial Intelligence
Natural Language Processing,Artificial Intelligence
Computer Vision,Artificial Intelligence
Reinforcement Learning,Artificial Intelligence
Supervised Learning,Artificial Intelligence
Unsupervised Learning,Artificial Intelligence
Semi-Supervised Learning,Artificial Intelligence
Feature Engineering,Artificial Intelligence
Model Training,Artificial Intelligence
Model Evaluation,Artificial Intelligence
Hyperparameter Tuning,Artificial Intelligence
Classification,Artificial Intelligence
Regression,Artificial Intelligence
Clustering,Artificial Intelligence
Dimensionality Reduction,Artificial Intelligence
Time Series Analysis,Artificial Intelligence
Recommendation Systems,Artificial Intelligence
Anomaly Detection,Artificial Intelligence
Predictive Modeling,Artificial Intelligence
Scikit-learn,Artificial Intelligence
TensorFlow,Artificial Intelligence
PyTorch,Artificial Intelligence
Keras,Artificial Intelligence
XGBoost,Artificial Intelligence
LightGBM,Artificial Intelligence
OpenCV,Artificial Intelligence
Transformers,Artificial Intelligence
Large Language Models,Artificial Intelligence
LLMs,Artificial Intelligence
Prompt Engineering,Artificial Intelligence
Retrieval Augmented Generation,Artificial Intelligence
RAG,Artificial Intelligence
Generative AI Applications,Artificial Intelligence
Chatbot Development,Artificial Intelligence
Speech Recognition,Artificial Intelligence
Speech Synthesis,Artificial Intelligence
Sentiment Analysis,Artificial Intelligence
Text Classification,Artificial Intelligence
Text Summarization,Artificial Intelligence
Object Detection,Artificial Intelligence
Image Classification,Artificial Intelligence
Face Recognition,Artificial Intelligence

HTML,Web Development
HTML5,Web Development
CSS,Web Development
CSS3,Web Development
JavaScript,Web Development
TypeScript,Web Development
React,Web Development
React.js,Web Development
Angular,Web Development
Vue.js,Web Development
Next.js,Web Development
Nuxt.js,Web Development
Node.js,Web Development
Express.js,Web Development
Django,Web Development
Flask,Web Development
FastAPI,Web Development
Laravel,Web Development
Spring Boot,Web Development
ASP.NET,Web Development
.NET,Web Development
Bootstrap,Web Development
Tailwind CSS,Web Development
jQuery,Web Development
REST API,Web Development
RESTful APIs,Web Development
GraphQL,Web Development
Web APIs,Web Development
JSON,Web Development
XML,Web Development
AJAX,Web Development
WebSockets,Web Development
Responsive Web Design,Web Development
Frontend Development,Web Development
Backend Development,Web Development
Full Stack Development,Web Development
Web Accessibility,Web Development
Progressive Web Apps,Web Development
Web Performance Optimization,Web Development
Cross-Origin Resource Sharing,Web Development
OAuth,Web Development
JWT,Web Development

Android Development,Mobile Development
iOS Development,Mobile Development
Android Studio,Mobile Development
Xcode,Mobile Development
Kotlin,Mobile Development
Java Android,Mobile Development
Swift,Mobile Development
SwiftUI,Mobile Development
Objective-C,Mobile Development
Flutter,Mobile Development
Dart,Mobile Development
React Native,Mobile Development
Ionic,Mobile Development
Xamarin,Mobile Development
.NET MAUI,Mobile Development
Jetpack Compose,Mobile Development
Android SDK,Mobile Development
iOS SDK,Mobile Development
Mobile UI Design,Mobile Development
Mobile App Development,Mobile Development
Cross-Platform Development,Mobile Development
Mobile Application Testing,Mobile Development
Firebase,Mobile Development
Push Notifications,Mobile Development
Mobile App Security,Mobile Development
App Store Deployment,Mobile Development
Google Play Store Deployment,Mobile Development
Mobile API Integration,Mobile Development

Cloud Computing,Cloud Computing
Amazon Web Services,Cloud Computing
AWS,Cloud Computing
Microsoft Azure,Cloud Computing
Google Cloud Platform,Cloud Computing
GCP,Cloud Computing
Oracle Cloud,Cloud Computing
IBM Cloud,Cloud Computing
AWS EC2,Cloud Computing
AWS S3,Cloud Computing
AWS Lambda,Cloud Computing
AWS RDS,Cloud Computing
AWS Redshift,Cloud Computing
AWS Glue,Cloud Computing
AWS EMR,Cloud Computing
AWS CloudFormation,Cloud Computing
Azure Virtual Machines,Cloud Computing
Azure Blob Storage,Cloud Computing
Azure Functions,Cloud Computing
Azure Data Factory,Cloud Computing
Azure Synapse Analytics,Cloud Computing
Azure DevOps,Cloud Computing
Google Compute Engine,Cloud Computing
Google Cloud Storage,Cloud Computing
BigQuery,Cloud Computing
Cloud Functions,Cloud Computing
Cloud Run,Cloud Computing
Cloud Architecture,Cloud Computing
Cloud Security,Cloud Computing
Cloud Migration,Cloud Computing
Cloud Infrastructure,Cloud Computing
Cloud Networking,Cloud Computing
Serverless Computing,Cloud Computing
Infrastructure as a Service,Cloud Computing
Platform as a Service,Cloud Computing
Software as a Service,Cloud Computing
Cloud Storage,Cloud Computing
Cloud Databases,Cloud Computing
Cloud Monitoring,Cloud Computing
Cloud Cost Management,Cloud Computing

DevOps,DevOps
Linux,DevOps
Unix,DevOps
Windows Server,DevOps
Docker,DevOps
Kubernetes,DevOps
Jenkins,DevOps
GitLab CI/CD,DevOps
GitHub Actions,DevOps
Azure DevOps,DevOps
CI/CD,DevOps
Continuous Integration,DevOps
Continuous Delivery,DevOps
Continuous Deployment,DevOps
Terraform,DevOps
Ansible,DevOps
Puppet,DevOps
Chef,DevOps
Vagrant,DevOps
Prometheus,DevOps
Grafana,DevOps
ELK Stack,DevOps
Logstash,DevOps
Kibana,DevOps
Nagios,DevOps
ArgoCD,DevOps
Helm,DevOps
Infrastructure as Code,DevOps
Configuration Management,DevOps
Containerization,DevOps
Container Orchestration,DevOps
Microservices,DevOps
Service Mesh,DevOps
Nginx,DevOps
Apache HTTP Server,DevOps
Apache Tomcat,DevOps
Reverse Proxy,DevOps
Load Balancing,DevOps
System Administration,DevOps
Infrastructure Management,DevOps
Site Reliability Engineering,DevOps
SRE,DevOps

Cybersecurity,Cybersecurity
Information Security,Cybersecurity
Network Security,Cybersecurity
Application Security,Cybersecurity
Cloud Security,Cybersecurity
Endpoint Security,Cybersecurity
Data Security,Cybersecurity
Identity and Access Management,Cybersecurity
IAM,Cybersecurity
Privileged Access Management,Cybersecurity
PAM,Cybersecurity
Access Control,Cybersecurity
Authentication,Cybersecurity
Authorization,Cybersecurity
Multi-Factor Authentication,Cybersecurity
MFA,Cybersecurity
Single Sign-On,Cybersecurity
SSO,Cybersecurity
Cryptography,Cybersecurity
Encryption,Cybersecurity
Public Key Infrastructure,Cybersecurity
PKI,Cybersecurity
Digital Forensics,Cybersecurity
Incident Response,Cybersecurity
Threat Intelligence,Cybersecurity
Threat Hunting,Cybersecurity
Vulnerability Assessment,Cybersecurity
Vulnerability Management,Cybersecurity
Penetration Testing,Cybersecurity
Ethical Hacking,Cybersecurity
Security Testing,Cybersecurity
Web Application Security,Cybersecurity
API Security,Cybersecurity
Mobile Security,Cybersecurity
Malware Analysis,Cybersecurity
Security Information and Event Management,Cybersecurity
SIEM,Cybersecurity
Security Operations Center,Cybersecurity
SOC,Cybersecurity
Intrusion Detection,Cybersecurity
Intrusion Prevention,Cybersecurity
IDS,Cybersecurity
IPS,Cybersecurity
Firewall Management,Cybersecurity
Network Monitoring,Cybersecurity
Digital Forensics,Cybersecurity
Risk Assessment,Cybersecurity
Security Risk Management,Cybersecurity
Governance Risk and Compliance,Cybersecurity
GRC,Cybersecurity
ISO 27001,Cybersecurity
SOC 2,Cybersecurity
NIST Cybersecurity Framework,Cybersecurity
Security Auditing,Cybersecurity
Privacy Management,Cybersecurity
Data Privacy,Cybersecurity
Security Awareness,Cybersecurity


Database Management,Databases
Relational Databases,Databases
SQL Databases,Databases
NoSQL Databases,Databases
MySQL,Databases
PostgreSQL,Databases
Oracle Database,Databases
Microsoft SQL Server,Databases
SQLite,Databases
MariaDB,Databases
MongoDB,Databases
Redis,Databases
Cassandra,Databases
DynamoDB,Databases
CouchDB,Databases
Neo4j,Databases
Firebase Firestore,Databases
Database Design,Databases
Database Administration,Databases
Database Development,Databases
Database Optimization,Databases
Query Optimization,Databases
Database Security,Databases
Database Migration,Databases
Data Modeling,Databases
Entity Relationship Modeling,Databases
ER Modeling,Databases
Normalization,Databases
Stored Procedures,Databases
Triggers,Databases
Views,Databases
Indexes,Databases
Data Warehousing,Data Engineering
Data Lakes,Data Engineering
Data Lakehouse,Data Engineering
ETL,Data Engineering
ELT,Data Engineering
Data Pipelines,Data Engineering
Data Integration,Data Engineering
Data Ingestion,Data Engineering
Batch Processing,Data Engineering
Real-Time Data Processing,Data Engineering
Stream Processing,Data Engineering
Apache Spark,Data Engineering
Apache Hadoop,Data Engineering
Apache Kafka,Data Engineering
Apache Airflow,Data Engineering
Apache Flink,Data Engineering
Apache Hive,Data Engineering
Apache NiFi,Data Engineering
Databricks,Data Engineering
Snowflake,Data Engineering
Amazon Redshift,Data Engineering
Google BigQuery,Data Engineering
Azure Synapse,Data Engineering
dbt,Data Engineering
Data Quality,Data Engineering
Data Governance,Data Engineering
Data Lineage,Data Engineering
Data Catalog,Data Engineering
Data Architecture,Data Engineering
Data Processing,Data Engineering
Data Transformation,Data Engineering
Data Orchestration,Data Engineering

UI Design,Design
UX Design,Design
UI/UX Design,Design
User Experience,Design
User Interface Design,Design
UX Research,Design
User Research,Design
User Testing,Design
Usability Testing,Design
Interaction Design,Design
Visual Design,Design
Design Thinking,Design
Wireframing,Design
Prototyping,Design
Information Architecture,Design
User Journey Mapping,Design
Customer Journey Mapping,Design
Design Systems,Design
Responsive Design,Design
Accessibility Design,Design
Figma,Design
Adobe XD,Design
Sketch,Design
InVision,Design
Framer,Design
Canva,Design
Adobe Photoshop,Design
Photoshop,Design
Adobe Illustrator,Design
Illustrator,Design
Adobe InDesign,Design
InDesign,Design
Adobe After Effects,Design
After Effects,Design
Adobe Premiere Pro,Design
Premiere Pro,Design
Blender,Design
3D Modeling,Design
3D Design,Design
Motion Graphics,Design
Graphic Design,Design
Brand Design,Design
Logo Design,Design
Typography,Design
Color Theory,Design
Illustration,Design
Digital Illustration,Design
Icon Design,Design
Visual Communication,Design
Creative Design,Design
Presentation Design,Design
Video Editing,Design
Photo Editing,Design
Animation,Design
2D Animation,Design
3D Animation,Design


Digital Marketing,Marketing
Digital Advertising,Marketing
Marketing Strategy,Marketing
Content Marketing,Marketing
Social Media Marketing,Marketing
Social Media Management,Marketing
Social Media Strategy,Marketing
Search Engine Optimization,Marketing
SEO,Marketing
Technical SEO,Marketing
Local SEO,Marketing
Search Engine Marketing,Marketing
SEM,Marketing
Pay Per Click Advertising,Marketing
PPC,Marketing
Google Ads,Marketing
Meta Ads,Marketing
Facebook Ads,Marketing
Instagram Marketing,Marketing
LinkedIn Marketing,Marketing
YouTube Marketing,Marketing
Influencer Marketing,Marketing
Affiliate Marketing,Marketing
Email Marketing,Marketing
SMS Marketing,Marketing
Content Strategy,Marketing
Content Creation,Marketing
Copywriting,Marketing
Advertising Copywriting,Marketing
Blog Writing,Marketing
Creative Writing,Marketing
Keyword Research,Marketing
Market Research,Marketing
Competitor Analysis,Marketing
Customer Segmentation,Marketing
Lead Generation,Marketing
Lead Nurturing,Marketing
Conversion Rate Optimization,Marketing
CRO,Marketing
Growth Marketing,Marketing
Performance Marketing,Marketing
Brand Marketing,Marketing
Brand Management,Marketing
Product Marketing,Marketing
Marketing Analytics,Marketing
Web Analytics,Marketing
Google Analytics,Marketing
Google Tag Manager,Marketing
Google Search Console,Marketing
HubSpot,Marketing
Mailchimp,Marketing
Salesforce Marketing Cloud,Marketing
CRM Marketing,Marketing
Marketing Automation,Marketing
Campaign Management,Marketing
Affiliate Marketing,Marketing
Community Management,Marketing
Social Media Analytics,Marketing
Social Media Advertising,Marketing
Online Reputation Management,Marketing
Public Relations,Marketing
Influencer Relations,Marketing


Financial Analysis,Finance
Financial Modeling,Finance
Financial Planning,Finance
Financial Forecasting,Finance
Financial Reporting,Finance
Financial Management,Finance
Investment Analysis,Finance
Investment Banking,Finance
Portfolio Management,Finance
Asset Management,Finance
Wealth Management,Finance
Risk Management,Finance
Credit Analysis,Finance
Credit Risk,Finance
Market Risk,Finance
Operational Risk,Finance
Enterprise Risk Management,Finance
Corporate Finance,Finance
Personal Finance,Finance
Treasury Management,Finance
Cash Flow Management,Finance
Budgeting,Finance
Cost Accounting,Finance
Management Accounting,Finance
Financial Accounting,Accounting
Tax Accounting,Accounting
Auditing,Accounting
Internal Auditing,Accounting
External Auditing,Accounting
Statutory Audit,Accounting
Forensic Accounting,Accounting
Bookkeeping,Accounting
Accounts Payable,Accounting
Accounts Receivable,Accounting
General Ledger,Accounting
Payroll Accounting,Accounting
GST,Taxation
GST Compliance,Taxation
Income Tax,Taxation
Tax Planning,Taxation
Tax Compliance,Taxation
Corporate Tax,Taxation
Direct Tax,Taxation
Indirect Tax,Taxation
Tally,Accounting
Tally ERP,Accounting
TallyPrime,Accounting
SAP Finance,Enterprise Finance
SAP FICO,Enterprise Finance
Oracle Financials,Enterprise Finance
QuickBooks,Accounting
Zoho Books,Accounting
Microsoft Excel,Accounting
Power BI,Finance
SQL,Finance
Bloomberg Terminal,Finance
Reuters Eikon,Finance
Capital Markets,Finance
Equity Research,Finance
Fixed Income,Finance
Derivatives,Finance
Foreign Exchange,Finance
Financial Markets,Finance
Banking Operations,Banking
Retail Banking,Banking
Corporate Banking,Banking
Investment Banking,Banking
Digital Banking,Banking
Loan Processing,Banking
Loan Underwriting,Banking
Credit Underwriting,Banking
KYC,Banking
