job_role,category,required_skills
Data Analyst,Data & Analytics,"Python,SQL,Excel,Power BI,Tableau,Data Analysis,Statistics,Data Visualization"
Data Scientist,Data & AI,"Python,SQL,Machine Learning,Deep Learning,Statistics,Pandas,NumPy,Scikit-learn,Data Visualization"
Data Engineer,Data & Engineering,"Python,SQL,ETL,Data Pipelines,Apache Spark,Apache Airflow,Data Warehousing,Data Lakes,Cloud Computing"
Machine Learning Engineer,AI & Machine Learning,"Python,Machine Learning,Deep Learning,Scikit-learn,TensorFlow,PyTorch,Feature Engineering,Model Evaluation"
Software Developer,Software Development,"Python,Java,C++,JavaScript,Data Structures,Algorithms,Git,GitHub,SQL"
Web Developer,Web Development,"HTML,CSS,JavaScript,React,Node.js,REST API,Git,GitHub"
UI UX Designer,Design,"Figma,UI Design,UX Design,Wireframing,Prototyping,User Research,Design Thinking"
Digital Marketing Specialist,Marketing,"SEO,SEM,Google Ads,Social Media Marketing,Content Marketing,Google Analytics,Email Marketing"
Financial Analyst,Finance,"Excel,Financial Analysis,Financial Modeling,Financial Reporting,SQL,Power BI,Statistics"
HR Recruiter,Human Resources,"Recruitment,Talent Acquisition,Candidate Sourcing,Interviewing,ATS,HRIS,Communication"

Business Analyst,Business & Consulting,"Business Analysis,Requirements Gathering,Requirements Analysis,SQL,Excel,Data Analysis,Data Visualization,Problem Solving,Critical Thinking"
Business Intelligence Analyst,Data & Analytics,"SQL,Power BI,Tableau,Excel,DAX,Power Query,Data Visualization,Business Intelligence,Data Analysis"
Data Visualization Specialist,Data & Analytics,"Tableau,Power BI,Excel,Python,Matplotlib,Seaborn,Plotly,Data Visualization,Data Analysis"
Database Administrator,Databases,"SQL,MySQL,PostgreSQL,Oracle Database,Microsoft SQL Server,Database Administration,Database Security,Database Optimization,Database Management"
Database Developer,Databases,"SQL,MySQL,PostgreSQL,Oracle Database,Database Development,Database Design,Stored Procedures,Triggers,Indexes,Query Optimization"
Cloud Engineer,Cloud Computing,"AWS,Microsoft Azure,Google Cloud Platform,Cloud Computing,Linux,Docker,Kubernetes,Terraform,Cloud Security"
Cloud Architect,Cloud Computing,"Cloud Architecture,AWS,Microsoft Azure,Google Cloud Platform,Cloud Security,Cloud Networking,Cloud Migration,Infrastructure as Code"
DevOps Engineer,DevOps,"DevOps,Linux,Docker,Kubernetes,Jenkins,CI/CD,Terraform,Ansible,GitHub Actions,Infrastructure as Code"
Site Reliability Engineer,DevOps,"SRE,Linux,Kubernetes,Docker,Prometheus,Grafana,Python,CI/CD,Cloud Computing,Monitoring"
Cybersecurity Analyst,Cybersecurity,"Cybersecurity,Network Security,SIEM,Threat Intelligence,Vulnerability Assessment,Incident Response,Security Monitoring,Firewalls,Linux"
Security Engineer,Cybersecurity,"Cybersecurity,Network Security,Cloud Security,Application Security,Encryption,Identity and Access Management,SIEM,Firewalls,Security Testing"
Penetration Tester,Cybersecurity,"Penetration Testing,Ethical Hacking,Vulnerability Assessment,Web Application Security,Network Security,Linux,Python,Security Testing"
Network Engineer,Networking,"Networking,Network Security,TCP/IP,Routing,Switching,Firewalls,Linux,Network Monitoring,Cisco"
System Administrator,IT Infrastructure,"Linux,Windows Server,System Administration,Networking,Shell Scripting,PowerShell,Cloud Computing,Virtualization,Security"
Frontend Developer,Web Development,"HTML,CSS,JavaScript,React,TypeScript,Angular,Responsive Web Design,Git,GitHub"
Backend Developer,Web Development,"Python,Java,Node.js,Express.js,Django,Flask,REST API,SQL,Git"
Full Stack Developer,Web Development,"HTML,CSS,JavaScript,React,Node.js,Express.js,SQL,REST API,Git,GitHub"
Mobile App Developer,Mobile Development,"Android Development,Kotlin,Java Android,Android Studio,Flutter,Dart,React Native,Firebase,Mobile App Development"
Graphic Designer,Design,"Graphic Design,Adobe Photoshop,Adobe Illustrator,Canva,Typography,Color Theory,Illustration,Brand Design"
Content Writer,Media & Communication,"Content Writing,Content Creation,SEO,Copywriting,Blog Writing,Research Skills,Storytelling,Communication Skills"

